family id FT10
108 108 70
139 139 68.75
159 159 72
265 265 63.5
350 350 68.5
351 351 69.25
403 403 63.5
410 410 76
424 424 83.25
428 428 75.75
630 630 73.5
763 763 65.75
768 768 76.5
801 801 94.75
870 870 72.5
915 915 63.75
932 932 78
997 997 101.25
1002 1002 102.75
1158 1158 98.75
1317 1317 104.25
1829 1829 94.75
1872 1872 80.25
1890 1890 101
1925 1925 89.5
1954 1954 93
2016 2016 77.5
2171 2171 79
2202 2202 97.75
2276 2276 83
2278 2278 79.25
2317 2317 77
4779 4779 68.6666666667
4807 4807 79.75
4826 4826 60
4884 4884 70.25
4958 4958 91.25
5023 5023 61
5104 5104 60
5151 5151 81.75
5210 5210 96
5236 5236 58.5
5276 5276 74.5
5349 5349 92
5353 5353 71
5486 5486 60.5
5577 5577 66.75
5644 5644 60.75
5720 5720 92
5726 5726 74
5741 5741 97.25
5748 5748 60.75
5768 5768 96.25
5772 5772 66.75
5779 5779 90.5
5784 5784 101.75
5800 5800 61.75
5811 5811 72
5822 5822 112.75
5831 5831 99.5
5837 5837 80.5
5874 5874 78
5890 5890 78.25
5893 5893 73.75
5907 5907 66.5
5921 5921 82.5
5950 5950 81.25
5984 5984 66.75
5993 5993 82.5
6008 6008 73.5
6009 6009 103
6017 6017 96.5
6020 6020 94
6024 6024 106.75
6038 6038 91.25
6041 6041 78.75
6064 6064 103.6666666667
6086 6086 100.5
6097 6097 114.5
6099 6099 117
6106 6106 102
6107 6107 119
6108 6108 78.75
6111 6111 111.75
6133 6133 111.75
6137 6137 92.5
6138 6138 97
6140 6140 98.75
6145 6145 116
6148 6148 105
6169 6169 116
6174 6174 100
6177 6177 99
6194 6194 110.5
6195 6195 83.75
6198 6198 88.25
6201 6201 94.25
6203 6203 108
6217 6217 111.25
6218 6218 124
6220 6220 103
6240 6240 98.25
6241 6241 96.25
6268 6268 115
6284 6284 117.5
6296 6296 75
6390 6390 71.75
6424 6424 77
6434 6434 62.75
6445 6445 67
6680 6680 99.25
6744 6744 63.25
6900 6900 116
6907 6907 72
6908 6908 66
6909 6909 70.5
6911 6911 62.75
6923 6923 57
6933 6933 63.75
6943 6943 60.75
6944 6944 63.75
6957 6957 81.25
6960 6960 55
6966 6966 62.25
6970 6970 62.5
6971 6971 66.25
6973 6973 77.25
6974 6974 108.75
6976 6976 71.25
6979 6979 54.75
6989 6989 78.25
6992 6992 68
7013 7013 63
7028 7028 57.5
7033 7033 78.75
7058 7058 87.25
7067 7067 58.75
7094 7094 67.25
7102 7102 87.25
7103 7103 62.25
7106 7106 76.5
7107 7107 67.25
7119 7119 65.5
7161 7161 61.25
7164 7164 69.75
7165 7165 71.5
7169 7169 82.5
7186 7186 75
7202 7202 63
7218 7218 75
7231 7231 65.75
7244 7244 68
7248 7248 71.5
7250 7250 58
7282 7282 62.5
7288 7288 82.5
7296 7296 84.25
7316 7316 81.25
7320 7320 80.75
7322 7322 76.5
7327 7327 64.5
7328 7328 56.25
7346 7346 78.25
7350 7350 80
7353 7353 86
7354 7354 100.25
7372 7372 83
7373 7373 81.25
7377 7377 75.75
7384 7384 76.25
7396 7396 61.5
7404 7404 68.5
7413 7413 69.25
7418 7418 63.5
7424 7424 57.75
7427 7427 101
7461 7461 68
7477 7477 74
7515 7515 73.75
7517 7517 115
7521 7521 70.75
7717 7717 82.75
7917 7917 82.25
8077 8077 70
8132 8132 74
8231 8231 100.75
8233 8233 75.5
8234 8234 102.6666666667
8235 8235 74.5
8236 8236 74
8238 8238 79.5
8239 8239 56
8244 8244 90.5
8246 8246 70.5
8247 8247 98
8259 8259 88
8264 8264 65.5
8284 8284 83.25
8290 8290 63.25
8297 8297 85.75
8334 8334 74.75
8337 8337 74
8343 8343 81.25
8351 8351 103
8357 8357 71.75
8365 8365 74
8366 8366 78.3333333333
8386 8386 75
8419 8419 94.25
8424 8424 68.25
9067 9067 101.75
9075 9075 93.25
9078 9078 100.25
9079 9079 101
9081 9081 91.25
9084 9084 103.75
9085 9085 103
9089 9089 88.6666666667
9091 9091 99.75
9095 9095 104
9099 9099 100.25
9100 9100 77.5
9102 9102 83.75
9103 9103 83.25
9104 9104 60.75
9105 9105 77.25
9106 9106 87.25
9111 9111 100.5
9113 9113 76
9114 9114 99.75
9115 9115 91.25
9121 9121 105.25
9125 9125 74
9128 9128 69.5
9130 9130 72.75
9131 9131 72.5
9133 9133 73.25
9134 9134 79.75
9298 9298 60
9312 9312 75.25
9314 9314 74.25
9321 9321 106.75
9386 9386 115.5
9388 9388 127.25
9404 9404 95
9405 9405 103.5
9408 9408 108.25
9409 9409 108.25
9421 9421 107
9433 9433 138
9451 9451 107.5
9503 9503 64
9506 9506 77.75
9507 9507 55
9508 9508 62
9509 9509 64.5
9510 9510 59.25
9511 9511 64.25
9512 9512 51.25
9513 9513 71.75
9514 9514 72.5
9515 9515 56.25
9517 9517 64
9518 9518 92
9519 9519 77.25
9520 9520 113.5
9521 9521 69.75
9522 9522 59
9523 9523 86.75
9524 9524 97.25
9525 9525 91.75
9526 9526 65
9527 9527 86.25
9529 9529 65
9530 9530 90.5
9531 9531 91
9532 9532 106
9533 9533 89
9534 9534 69.75
9535 9535 93.5
9537 9537 64.25
9540 9540 75.25
9541 9541 68.5
9542 9542 90
9543 9543 94.3333333333
9544 9544 57.25
9545 9545 83.5
9547 9547 79.25
9549 9549 91
9550 9550 130.25
9551 9551 102
9553 9553 100.75
9554 9554 94
9556 9556 76.25
9557 9557 107.25
9558 9558 96.5
9559 9559 56.75
9560 9560 69.25
9561 9561 101
9562 9562 93.25
9565 9565 74.5
9567 9567 113
9568 9568 103.75
9569 9569 99
9573 9573 70.25
9576 9576 106
9577 9577 99.5
9578 9578 75.25
9579 9579 77
9581 9581 111
9582 9582 95.75
9583 9583 96.75
9584 9584 88.5
9585 9585 52.25
9587 9587 101
9588 9588 85
9590 9590 51.25
9591 9591 67
9592 9592 95
9593 9593 109.5
9594 9594 95
9595 9595 80.5
9596 9596 73
9597 9597 69.75
9598 9598 87
9599 9599 84.75
9600 9600 89.5
9601 9601 97
9602 9602 77.25
9606 9606 63
9607 9607 88.75
9608 9608 58
9609 9609 74.5
9610 9610 82.25
9611 9611 73.5
9612 9612 86.5
9613 9613 81.75
9615 9615 85.75
9616 9616 93.5
9617 9617 70.75
