family id MHI MLI THI TLI MHP MLP THP TLP FT10 FT16
159 159 107 126.5 160.285714285714 161.4 114.75 133 162.75 167 72 56.75
265 265 100.166666666667 112 157.142857142857 159.166666666667 98.5 113 155 168 63.5 47.25
403 403 105.428571428571 105.2 159.666666666667 157.6 102.333333333333 111.75 159.142857142857 166.5 63.5 54.25
763 763 109.5 109.4 164 165 105.6 NA 164.5 169.5 65.75 39
768 768 105.6 108.6 159.285714285714 161.4 107.2 120.333333333333 155.666666666667 166 76.5 78.25
801 801 119.142857142857 122.75 163.285714285714 163.714285714286 128.4 128 164 166.6 94.75 88.25
915 915 108.285714285714 118.25 162.5 164.857142857143 114.333333333333 134.333333333333 149.75 167 63.75 43.5
932 932 110.666666666667 120 162.333333333333 162.333333333333 114.333333333333 128.666666666667 160.4 172 78 68.75
1890 1890 110.833333333333 110.833333333333 161.5 165 106.6 115.666666666667 161 165.75 101 75.75
1954 1954 118.833333333333 139 165 167 123.666666666667 133 163.4 NA 93 101
2317 2317 109.285714285714 113.75 157.571428571429 162.571428571429 109.8 123 154.2 165 77 53.5
4958 4958 124 135 166.428571428571 166.666666666667 126.6 135 156.2 167 91.25 100.25
5151 5151 120 126.5 164.857142857143 166.6 126 NA 165.6 NA 81.75 73.66666667
5349 5349 117.857142857143 127 165 166.333333333333 121.75 133.25 167.142857142857 NA 92 97.33333333
5353 5353 117.142857142857 122 160.428571428571 165.166666666667 114 124.5 157.8 168.25 71 62.5
5486 5486 109.166666666667 134.333333333333 162 165.5 114.666666666667 133 164.2 153.5 60.5 37.5
5577 5577 113.166666666667 NA 156.428571428571 162 110.5 144 148 167 66.75 51
5741 5741 127 144 168.375 170.5 138 105 168 NA 97.25 88.5
5768 5768 119.833333333333 133.5 173 164 128 139 168.25 167 96.25 85
5772 5772 106.285714285714 107.25 154.333333333333 159.833333333333 99.6666666666667 NA 158.2 167 66.75 49
5779 5779 117.428571428571 126 165.428571428571 165.666666666667 125 140 167.2 172 90.5 67
5784 5784 125.166666666667 136.666666666667 167.571428571429 167.666666666667 127 140 163.25 167 101.75 69.25
5800 5800 107.333333333333 117.5 160.714285714286 165 110.4 136.5 163 172 61.75 39
5811 5811 115 128 162.142857142857 165.5 117.5 133 162.2 167 72 46
6008 6008 111.571428571429 109.333333333333 161 163.4 112 122 156 NA 73.5 43
6025 6025 123.166666666667 121.333333333333 165 166.6 127.75 136.666666666667 163 165 129.25 NA
6097 6097 130.833333333333 140 169.142857142857 172 142 128 165.333333333333 NA 114.5 94
6099 6099 133.857142857143 105.5 170.333333333333 NA 144.75 NA 175 NA 117 113.6666667
6106 6106 122 134 166.833333333333 162 126 NA 170.75 NA 102 94.75
6107 6107 109.6 115 162.142857142857 164.666666666667 107.2 127.75 163.6 165 119 105.25
6108 6108 118.142857142857 NA 164.285714285714 165.666666666667 121.6 NA 168.8 NA 78.75 52.75
6111 6111 124.285714285714 143.5 167.571428571429 167 133.6 NA 169.4 NA 111.75 93.66666667
6133 6133 126 138.333333333333 168.142857142857 171 134.5 NA 163.5 NA 111.75 91.75
6137 6137 124.5 147 165.8 167 129.6 NA 170.25 168.5 92.5 87.75
6138 6138 121.857142857143 133 166.333333333333 167.6 117 146.5 166 NA 97 90.75
6140 6140 126.857142857143 131.5 165.714285714286 167.666666666667 130.666666666667 158 168.8 NA 98.75 103.25
6145 6145 129.875 132 170.5 NA 139.333333333333 NA 169.5 167 116 111.5
6148 6148 127 98.5 165.666666666667 168.333333333333 130.333333333333 NA 167.666666666667 NA 105 105.6666667
6169 6169 116.833333333333 130 163.142857142857 165.2 114.25 126.5 166.2 167 116 113.5
6174 6174 115.5 123.75 161.428571428571 165.5 117.25 137 167.5 168 100 128
