family id FT16
159 159 56.75
265 265 47.25
403 403 54.25
763 763 39
768 768 78.25
801 801 88.25
915 915 43.5
932 932 68.75
1890 1890 75.75
1954 1954 101
2317 2317 53.5
4958 4958 100.25
5151 5151 73.66666667
5349 5349 97.33333333
5353 5353 62.5
5486 5486 37.5
5577 5577 51
5741 5741 88.5
5768 5768 85
5772 5772 49
5779 5779 67
5784 5784 69.25
5800 5800 39
5811 5811 46
6008 6008 43
6025 6025 NA
6097 6097 94
6099 6099 113.6666667
6106 6106 94.75
6107 6107 105.25
6108 6108 52.75
6111 6111 93.66666667
6133 6133 91.75
6137 6137 87.75
6138 6138 90.75
6140 6140 103.25
6145 6145 111.5
6148 6148 105.6666667
6169 6169 113.5
6174 6174 128
6177 6177 105.5
6194 6194 91.5
6195 6195 59
6198 6198 92.5
6201 6201 103
6203 6203 119.6666667
6217 6217 127
6218 6218 137
6680 6680 92.33333333
6909 6909 38
6911 6911 47.25
6979 6979 36
6989 6989 61
6992 6992 54.25
7013 7013 38.75
7028 7028 40.25
7102 7102 71
7106 7106 44.5
7164 7164 59.25
7165 7165 43.5
7169 7169 78.25
7186 7186 49.75
7218 7218 51.25
7244 7244 46
7250 7250 37.75
7282 7282 37.5
7288 7288 70.25
7296 7296 62.5
7316 7316 89.25
7346 7346 58.66666667
7353 7353 70.5
7354 7354 108.3333333
7372 7372 54.5
7373 7373 54.75
7384 7384 65.75
7404 7404 41.33333333
7477 7477 52.25
8231 8231 108.6666667
8234 8234 92.75
8235 8235 68.75
8236 8236 64.66666667
8244 8244 58.5
8246 8246 76.5
8247 8247 94.66666667
8264 8264 63.5
8337 8337 72.5
8343 8343 59.75
8351 8351 97.5
8357 8357 55.5
8365 8365 39.5
9115 9115 71.75
9121 9121 102
9125 9125 69.25
9298 9298 45.5
9314 9314 60
9408 9408 124
9409 9409 119.25
9421 9421 103
9503 9503 53.5
9506 9506 69
9507 9507 46.66666667
9508 9508 60.66666667
9509 9509 59
9510 9510 55.75
9511 9511 55
9512 9512 40.25
9513 9513 63.33333333
9514 9514 83.33333333
9515 9515 51.25
9517 9517 35.75
9518 9518 87.5
9519 9519 64.5
9520 9520 120.5
9521 9521 68
9522 9522 60.33333333
9523 9523 84.66666667
9524 9524 99.66666667
9525 9525 81.25
9526 9526 56.33333333
9527 9527 76.5
9529 9529 63
9530 9530 123
9531 9531 92
9532 9532 108.6666667
9533 9533 79
9534 9534 65.66666667
9535 9535 89
9537 9537 56
9540 9540 88.25
9541 9541 61.5
9542 9542 107.25
9543 9543 89.66666667
9544 9544 53.5
9545 9545 101
9546 9546 NA
9547 9547 70
9548 9548 NA
9549 9549 106.6666667
9551 9551 123
9553 9553 106
9554 9554 104.25
9556 9556 65
9557 9557 112
9558 9558 114.6666667
9559 9559 66.5
9560 9560 53.75
9561 9561 92
9562 9562 83.5
9564 9564 NA
9565 9565 72.33333333
9567 9567 103.5
9569 9569 96.5
9573 9573 60
9574 9574 NA
9576 9576 106.5
9577 9577 123.5
9578 9578 59.25
9579 9579 79.25
9581 9581 118.5
9582 9582 93.75
9583 9583 89.5
9584 9584 85.5
9585 9585 32
9586 9586 NA
9587 9587 101.75
9588 9588 79.33333333
9590 9590 50.5
9591 9591 46
9593 9593 109
9594 9594 110.6666667
9595 9595 66.75
9596 9596 61
9597 9597 60.66666667
9598 9598 91
9599 9599 90.25
9600 9600 73
9601 9601 77
9602 9602 75.33333333
9606 9606 41
9609 9609 51
9610 9610 69.5
9611 9611 68
9612 9612 71.5
9615 9615 86
9616 9616 110.75
9619 9619 83
9622 9622 81.66666667
9626 9626 70.25
9629 9629 74.66666667
9630 9630 79.5
9631 9631 140
9632 9632 90.33333333
9634 9634 98
9636 9636 141
9637 9637 82.5
9638 9638 87.66666667
9640 9640 80.75
9642 9642 86
9644 9644 69
9645 9645 66.25
9647 9647 55
9649 9649 67.25
9651 9651 49.66666667
9653 9653 52.5
9656 9656 89
